gene,log2FC,p_value,q_value
VIM,-0.20831701,2.0042089868897548e-32,1.0021044934448773e-28
TRIM67,0.58097804,1.9405205995971317e-29,4.851301498992829e-26
TGIF1,-0.23904774,2.0298587906983695e-28,3.3830979844972826e-25
MARCH4,0.53849685,2.142532398179803e-27,2.142532398179803e-24
MMEL1,-1.3219246,1.8064199052491275e-27,2.142532398179803e-24
LEKR1,-0.5176116,2.7959192699535567e-27,2.3299327249612975e-24
G6PC2,1.3912946,4.6598878960303735e-27,3.32849135430741e-24
WDR78,-0.41426277,6.1541186218280476e-27,3.846324138642529e-24
NFATC1,-0.26705557,1.5793496721714946e-26,8.774164845397193e-24
RASAL3,-0.3003857,1.9404174057772718e-26,9.702087028886358e-24
PRAM1,-0.35097435,2.6148368338040707e-26,1.1885621971836684e-23
LAT2,-0.2384302,3.476363577371197e-26,1.4484848239046654e-23
CASP1,-0.29760322,4.464062315643797e-26,1.7169470444783834e-23
CACNG2,0.7358503,6.970045047243316e-26,2.4893018025868987e-23
GNG12,-0.25117412,7.69250892253446e-26,2.56416964084482e-23
HS3ST1,-0.35107917,8.435404847100848e-26,2.636064014719015e-23
PLEKHA4,-0.30869022,9.128939292401779e-26,2.6849821448240526e-23
TLR5,-0.33198175,1.0129171399169752e-25,2.8136587219915976e-23
MYO1F,-0.21597637,1.1485613247923569e-25,3.0225298020851496e-23
GRIN3A,0.47628552,1.2217009216616814e-25,3.0542523041542034e-23
COL8A2,-0.35272902,1.3538961444794972e-25,3.2235622487607076e-23
LPAR5,-0.26849523,1.4454718313104765e-25,3.2851632529783556e-23
XKR7,0.96078676,2.1539764124073885e-25,4.682557418276932e-23
ALOX5,-0.29182237,2.4793222854442977e-25,4.9596723182586094e-23
ITGB4,-0.27246693,2.5790296054944767e-25,4.9596723182586094e-23
FNBP1L,-0.19604579,2.4971597507549193e-25,4.9596723182586094e-23
SEZ6L2,0.21269973,2.745275973528248e-25,5.0838443954226807e-23
CHGB,0.27245295,3.7062624133214444e-25,6.618325738074008e-23
KCNJ11,0.3317694,3.9490049827589523e-25,6.808629280618884e-23
DEF6,-0.2613224,6.4173195464461955e-25,1.0695532577410326e-22
INSM2,0.86290926,7.070556719304126e-25,1.1404123740813108e-22
SASH3,-0.24983831,9.44630595865682e-25,1.4759853060401282e-22
LILRB1,-0.31203395,2.0236900759359562e-24,3.0661970847514487e-22
C3,-0.20888114,2.266054644774022e-24,3.2372209211057455e-22
L1CAM,0.39472002,2.2018377095943423e-24,3.2372209211057455e-22
APBB1IP,-0.24246544,2.9557419765969603e-24,4.1051971897180005e-22
LOC100233209,-0.6056622,3.1470511440885367e-24,4.25277181633586e-22
RPE65,-0.46551794,4.287061332992274e-24,5.640870174989834e-22
RHBDF2,-0.2083642,4.763119994862207e-24,6.106564095977189e-22
BTK,-0.26938143,6.00763196502061e-24,7.509539956275762e-22
TNNT1,0.6991744,6.767620922861736e-24,8.095815993499527e-22
GLIS3,-0.24519311,6.800485434539602e-24,8.095815993499527e-22
HLA-DMB,-0.23379818,8.730904276384604e-24,1.0152214274865819e-21
ITGB2,-0.19673334,8.971387337432746e-24,1.0194758337991757e-21
LEFTY2,-0.9119162,9.817798200510021e-24,1.0908664667233358e-21
KCNK3,0.37911922,1.0458864282256678e-23,1.1368330741583346e-21
FAM113B,-0.3054945,1.0969188645071907e-23,1.1669349622416922e-21
MARCH11,0.9750082,1.32212196033385e-23,1.3772103753477606e-21
NCKAP1L,-0.2247472,1.6240616872676847e-23,1.6572058033343722e-21
MIA,-1.0615621,1.6855349602754632e-23,1.6855349602754632e-21
BLNK,-0.3649236,1.8156721977140115e-23,1.7800707820725602e-21
RASGRP4,-0.33846846,2.0612883537823384e-23,1.9820080324830177e-21
VCAM1,-0.34493685,2.1090744757059806e-23,1.9896929016094157e-21
VWC2L,1.2954266,2.2038256552865284e-23,2.0405793104504893e-21
C4A,-0.18483974,2.3348537700526702e-23,2.1225943364115183e-21
LAPTM5,-0.15608336,2.387539104719728e-23,2.131731343499757e-21
BCL2L12,-0.31905967,2.6114950208584623e-23,2.2512888110848814e-21
