class,direction,rank,gene,coef
Astrocytoma,positive,1,PRR5-ARHGAP8,0.11271182530706084
Astrocytoma,positive,2,PCDHA2,0.10510811766246618
Astrocytoma,positive,3,LOC220594,0.1025226559241406
Astrocytoma,positive,4,RHOXF1,0.0999653512436493
Astrocytoma,positive,5,LOC645752,0.0982586358705046
Astrocytoma,positive,6,RUNX3,0.09622690692640117
Astrocytoma,positive,7,FAM106A,0.09540802912383767
Astrocytoma,positive,8,SGCA,0.09364066997130771
Astrocytoma,positive,9,KIAA0408,0.08976053638164228
Astrocytoma,positive,10,CHODL,0.08931129318399422
Astrocytoma,positive,11,PDZK1IP1,0.08519312222094594
Astrocytoma,positive,12,PCDHGA10,0.08438371871989522
Astrocytoma,positive,13,SMCP,0.08431508648787332
Astrocytoma,positive,14,P2RY8,0.08345151987641793
Astrocytoma,positive,15,ESPNL,0.08123589999660942
Astrocytoma,positive,16,LEKR1,0.08076041141323603
Astrocytoma,positive,17,FBXO39,0.0802859518709441
Astrocytoma,positive,18,ESX1,0.07920981994075904
Astrocytoma,positive,19,GBA3,0.07911342579765818
Astrocytoma,positive,20,C19orf33,0.07858768004968121
Astrocytoma,positive,21,CCDC163P,0.07852435387447179
Astrocytoma,positive,22,NBPF16,0.07717976691564958
Astrocytoma,positive,23,CSPG4,0.07606902107916888
Astrocytoma,positive,24,IGDCC4,0.07546755595708686
Astrocytoma,positive,25,TRIM63,0.07519903799332285
Astrocytoma,negative,1,GTF2H2B,-0.1210640557991988
Astrocytoma,negative,2,LOC729156,-0.09900146140155204
Astrocytoma,negative,3,CTSK,-0.0962899294097523
Astrocytoma,negative,4,LRRC52,-0.0949432588459284
Astrocytoma,negative,5,STAG3L1,-0.09026416148999547
Astrocytoma,negative,6,FPR2,-0.08504978780811663
Astrocytoma,negative,7,PEG3AS,-0.08484388292765417
Astrocytoma,negative,8,SEMA5A,-0.0826547409929703
Astrocytoma,negative,9,PCDHB16,-0.08198060326488056
Astrocytoma,negative,10,TNFRSF4,-0.08132853544722042
Astrocytoma,negative,11,CCL20,-0.07975411968836599
Astrocytoma,negative,12,GAL3ST2,-0.07967313116357125
Astrocytoma,negative,13,ZFP92,-0.07583859332775679
Astrocytoma,negative,14,TBC1D3G,-0.07560420504175645
Astrocytoma,negative,15,KISS1R,-0.0736201536033154
Astrocytoma,negative,16,DCHS2,-0.07313348565028312
Astrocytoma,negative,17,FEV,-0.07288501266208855
Astrocytoma,negative,18,CXCL11,-0.07285177887803321
Astrocytoma,negative,19,ANGPT4,-0.07280108911105897
Astrocytoma,negative,20,CRYBB2,-0.07272432275762773
Astrocytoma,negative,21,SIGLEC14,-0.07152045244027079
Astrocytoma,negative,22,ATP1A4,-0.07073912784499739
Astrocytoma,negative,23,CA9,-0.07016680180805675
Astrocytoma,negative,24,HBA1,-0.06876097288887195
Astrocytoma,negative,25,ROR1,-0.0676318291873974
Oligoastrocytoma,positive,1,GAL3ST2,0.12212352733644996
